id,name,lat,lon
C32095,Bellevue T Stop,42.28593,-71.14722
C32096,Knoll St at Centre St,42.29377,-71.13657
C32099,Circuit Drive at American Legion Hwy,42.29704,-71.09172
C32100,Hyde Park Ave at Arlington St,42.26287,-71.12163
C32101,American Legion Hwy at Hyde Park Ave,42.27265,-71.1199
C32102,Walnut Ave at School St,42.31242,-71.09617
C32103,Morton St at Gallivan Blvd,42.27875,-71.08029
C32104,Cleary Sq,42.2556,-71.12444
C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.10972
C32106,555 Metropolitan Ave,42.2681,-71.11924
C32107,Pier 4 Blvd at Autumn Ln,42.35021,-71.04467
C32108,Beach St at Freeport St,42.30367,-71.05426
C32109,Centre St at Allandale St,42.30081,-71.12744
C32110,Talbot Ave T Station,42.29225,-71.07797
C32111,Four Corners/Geneva T Stop,42.30322,-71.07821
C32112,Meaney Playground - Pleasant St at E Cottage St,42.3186,-71.05877
C32113,Hancock St at Pleasant St,42.30982,-71.0602
C32114,780 Morrissey Blvd,42.2953,-71.04719
C32115,Washington St at W Dedham St,42.34034,-71.0718
C32116,Dorchester Ave at Savin Hill Ave,42.3124,-71.05743
C32117,135 Morrissey Blvd,42.31557,-71.04842
C32118,Melnea Cass Blvd at Hampden St,42.33098,-71.07548
C32119,C St at Baxter St,42.33695,-71.05548
C32120,Mary Ellen McCormack - Sterling Square,42.32642,-71.05401
C3298,Moraine St at Centre St,42.31959,-71.11197
C33086,Alabama St at Messinger St,42.2755,-71.10281
D32000,Cambridge St at Joy St,42.36126,-71.06529
D32001,New Balance - 20 Guest St,42.35733,-71.14674
D32002,Washington St at Waltham St,42.34157,-71.0689
D32003,Faneuil St at Bothwell Rd,42.35331,-71.1594
D32004,Arch St at Franklin St,42.35534,-71.05823
D32005,Copley Square - Dartmouth St at Boylston St,42.34993,-71.07739
D32006,Lewis Wharf at Atlantic Ave,42.36387,-71.05088
D32007,Boylston St at Arlington St,42.35209,-71.07022
D32008,Rowes Wharf at Atlantic Ave,42.35714,-71.0507
D32009,Congress St at Boston City Hall,42.36042,-71.05752
D32010,Cross St at Hanover St,42.36281,-71.05607
D32011,Stuart St at Charles St,42.35115,-71.06629
D32012,Post Office Square,42.35585,-71.0546
D32013,Boylston St at Berkeley St,42.35114,-71.07329
D32014,Tremont St at West St,42.35498,-71.06335
D32015,Chinatown Gate Plaza,42.35136,-71.05937
D32016,Charles Circle - Charles St at Cambridge St,42.36079,-71.07119
D32017,Mugar Way at Beacon St,42.35554,-71.07287
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776,-71.04536
D32019,Chinatown T Stop,42.35241,-71.06268
D32020,Main St at Austin St,42.3756,-71.06461
D32021,Warren St at Chelsea St,42.37185,-71.06029
D32022,West End Park,42.36591,-71.06447
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.37834,-71.04893
D32024,Beacon St at Charles St,42.35605,-71.06985
D32025,Charles St S at Stuart St,42.35078,-71.06669
D32026,Hayes Square - Vine St at Moulton St,42.37702,-71.05661
D32027,Boston Public Market - Surface Rd at Sudbury St,42.36256,-71.05749
D32028,Brighton Center - Washington St at Cambridge St,42.34895,-71.15027
D32029,Washington St at Brock St,42.34895,-71.16032
D32030,Washington St at Temple Pl,42.35497,-71.06098
D32031,Oak Square - 615 Washington St,42.35057,-71.16649
D32032,Silber Way,42.3495,-71.10058
D32033,Commonwealth Ave at Chiswick Rd,42.34025,-71.15169
D32034,Commonwealth Ave at Kelton St,42.34836,-71.13997
D32035,Harvard Ave at Brainerd Rd,42.34953,-71.13023
D32036,Main St at Baldwin St,42.38086,-71.07063
D32037,Medford St at Charlestown BCYF,42.38043,-71.06056
D32038,Main St at Thompson Sq,42.37488,-71.06383
D32039,Charlestown Navy Yard,42.37412,-71.05481
D32040,Williams St at Washington St,42.30654,-71.10767
D32041,Stony Brook T Stop,42.31697,-71.10437
D32042,Park Plaza at Charles St S.,42.35183,-71.06781
D32043,Harrison Ave at Bennet St,42.34943,-71.0621
D32044,Pearl St at Milk St,42.35678,-71.0555
D32045,Dartmouth St at Newbury St,42.35096,-71.07783
D32046,Boylston St at Exeter St,42.34959,-71.07947
D32047,Clarendon St at Newbury St,42.3516,-71.07562
D32048,Shawmut Ave at Oak St W,42.34855,-71.06559
D32049,Stuart St at Berkeley St,42.34954,-71.07242
D32050,Blossom St at Charles St,42.36254,-71.06706
D32051,Main St at Devens St,42.37402,-71.06331
D32052,Jamaica St at South St,42.30605,-71.11571
D32053,Sullivan Square,42.38445,-71.07515
D32054,The Overlook at St. Gabriel's,42.34679,-71.1455
D32055,Boylston St at Dartmouth St,42.35029,-71.07751
D32057,Clinton St at North St,42.3607,-71.05525
D32058,Brighton Ave at Linden St,42.35284,-71.12968
D32059,Shawmut Ave at Lenox St,42.33585,-71.08038
D32060,Hood Park,42.38005,-71.07305
D32061,Lenox St at Kendall St,42.33759,-71.08255
D32062,Stuart St at Church St,42.35067,-71.06831
D32063,Commonwealth Ave at Fidelis Way,42.34587,-71.1419
D32064,Main St at Salem St,42.3771,-71.06646
D32065,Constitution Rd at Chelsea St,42.3736,-71.05843
D32066,Medford St at McNulty Ct,42.37916,-71.05786
D32067,Chelsea St at Medford St,42.37857,-71.05298
D320670,Commonwealth Ave at Chestnut Hill Dr,42.33841,-71.15443
D32068,Cross St at Stillman St,42.36371,-71.05749
D32069,Shawmut Ave at E Berkeley St,42.34461,-71.06702
D32070,Rutherford Ave at Bunker Hill Industrial Park,42.37935,-71.07137
D32071,Rutherford Ave at Main St,42.38385,-71.07311
D32072,Walbridge St at Commonwealth Ave,42.34776,-71.13568
D32073,39 Brighton Ave,42.353,-71.12658
D32074,Market St at Mapleton St,42.35208,-71.15157
D32075,Gardner St at Harvard Ave,42.35351,-71.13193
D32076,Oak Square - Washington St at Bigelow St,42.35062,-71.16744
D32077,Washington St at Mina Way,42.35298,-71.17322
D32078,Franklin St at Cambridge St,42.35579,-71.13286
D32079,Cambridge St at Warren St,42.35023,-71.14668
D32080,Rugg Rd at Braintree St,42.35608,-71.13539
D32081,Boylston T Stop,42.35251,-71.06528
D32082,Charlestown Navy Yard Ferry Terminal,42.37336,-71.05284
E32001,Curtis Hall - South St at Centre St,42.30905,-71.11543
E32002,Jamaicaway at Perkins St,42.32125,-71.11648
E32003,Hyde Square - Centre St at Perkins St,42.32177,-71.10984
E32004,Egleston Square - Atherton St at Washington St,42.31569,-71.09863
E32005,Green Street T Stop - Green St at Amory St,42.31058,-71.10734
E32006,Jackson Square T Stop,42.32293,-71.10014
E32007,S Huntington Ave at Heath St,42.3276,-71.11089
E32008,Centre St at Seaverns Ave,42.31358,-71.11405
E32009,Shawmut T Stop,42.29292,-71.06575
E32010,Forest Hills,42.30092,-71.11425
E32011,The Dimock Center,42.31931,-71.0964
E32012,Martha Eliot Health Center,42.32417,-71.10196
E32013,Hyde Park Library,42.25684,-71.12251
E32014,Ross Playground,42.26457,-71.11455
E32015,Lincoln St at Empire St,42.35765,-71.12851
E32016,Commonwealth Ave at Naples Rd,42.35191,-71.1238
