station_id,name,lat,lng,present_years,present_months
5870.05,63 Ave & 99 St,40.73302,-73.85714,2026,2026-06;2026-07
5883.06,Van Dam St & Greenpoint Ave,40.73443564069459,-73.93790781497955,2025,2025-01;2025-02;2025-03
5894.01,64 Rd & Grand Central Pkwy,40.73362,-73.84494,2026,2026-06;2026-07
5903.06,108 St & 62 Dr,40.73551,-73.85102,2026,2026-06;2026-07
5936.06,62 Dr & 110 St,40.73632,-73.84904,2026,2026-06;2026-07
5945.03,62 Ave & 102 St,40.73568,-73.8564,2026,2026-06;2026-07
6011.04,Grand Central Pkwy & 62 Dr,40.73694,-73.84601,2026,2026-06;2026-07
6170.1,Jackson Ave & 50 Ave,40.74234,-73.95312,2026,2026-06
6170.10,Jackson Ave & 50 Ave,40.74234,-73.95312,2026,2026-06;2026-07
6233.11,W 19 St & 11 Ave,40.74598211712387,-74.00784343705081,2026,2026-07
6234.08,59 St & 41 Ave,40.744577,-73.905986,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06
6280.13,E 33 St & Park Ave,40.74652543,-73.98214281,2026,2026-04;2026-05;2026-06;2026-07
6297.02,W 26 St & 8 Ave,40.74734825,-73.99723551,2026,2026-07
6438.04,11 St & 43 Ave,40.7519071,-73.9479119,2025,2025-01
6441.01,Broadway & W 36 St,40.75097711,-73.98765428,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09
6441.11,Broadway & W 36 St,40.751226078126,-73.98772201748262,2026,2026-05;2026-06;2026-07
6462.09,29 St & 40 Ave,40.75217,-73.93588,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07
6535.05,10 Ave & W 34 St,40.75476986284269,-73.99914588449698,2026,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
6569.08,W 35 St & Dyer Ave,40.754691750226016,-73.99740189313889,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09
6638.01,34 Ave & 38 St,40.756913,-73.921631,2025,2025-01
6644.04,W 39 St & 9 Ave,40.75645824,-73.99372222,2026,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
6667.04,W 47 St & 6 Ave,40.758397,-73.98255,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06
6717.01,W 44 St & 9 Ave,40.75963216910053,-73.99155429633757,2026,2026-06;2026-07
6789.2,31 St & Broadway,40.76211,-73.92523,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07
6789.20,31 St & Broadway,40.76211,-73.92523,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07
6884.06,8 Ave & W 55 St,40.765591,-73.983846,2026,2026-04;2026-05;2026-06;2026-07
7020.09,1 Ave & E 78 St,40.77140426,-73.9535166,2026,2026-06;2026-07
7036.07,E 70 St & Madison Ave,40.77059,-73.96655,2026,2026-05;2026-06;2026-07
7363.04,20 Ave & 21 St,40.784003,-73.912297,2026,2026-07
7409.08,W 84 St & Broadway,40.7867947,-73.977112,2026,2026-07
