source_element_key,blockface,side,capacity,area,subarea,category,time_limit_min,lat,lng
62010,NE 42ND ST BETWEEN 11TH AVE NE AND 12TH AVE NE,S,8,University District,Edge,Paid Parking,240,47.6583136,-122.31609069
39377,NE 42ND ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,N,4,University District,Core,Paid Parking,120,47.65837121,-122.31494265
39378,NE 42ND ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,S,3,University District,Core,Paid Parking,120,47.65829994,-122.31494452
84689,NE 42ND ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,N,5,University District,Core,Paid Parking,120,47.65838149,-122.31373718
84690,NE 42ND ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,S,5,University District,Core,Paid Parking,120,47.65826096,-122.31374639
16941,NE 42ND ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,N,6,University District,Core,Paid Parking,120,47.65836262,-122.31260747
16942,NE 42ND ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,S,7,University District,Core,Paid Parking,120,47.65825298,-122.31261031
17065,NE 47TH ST BETWEEN 11TH AVE NE AND 12TH AVE NE,N,5,University District,Edge,Paid Parking,240,47.66316493,-122.31579985
17066,NE 47TH ST BETWEEN 11TH AVE NE AND 12TH AVE NE,S,2,University District,Edge,Paid Parking,240,47.66304567,-122.31579926
62089,NE 47TH ST BETWEEN 9TH AVE NE AND ROOSEVELT WAY NE,N,2,University District,Edge,Paid Parking,240,47.6631568,-122.31791205
62090,NE 47TH ST BETWEEN 9TH AVE NE AND ROOSEVELT WAY NE,S,5,University District,Edge,Paid Parking,240,47.66308552,-122.31791314
84789,NE 47TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,N,7,University District,Core,Paid Parking,120,47.6631533,-122.31367103
84790,NE 47TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,S,5,University District,Core,Paid Parking,120,47.66303817,-122.31367278
62093,NE 47TH ST BETWEEN ROOSEVELT WAY NE AND 11TH AVE NE,N,4,University District,Edge,Paid Parking,240,47.66317097,-122.31689232
39485,NE 47TH ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,N,2,University District,Core,Paid Parking,120,47.66314523,-122.31252473
39486,NE 47TH ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,S,6,University District,Core,Paid Parking,120,47.6630548,-122.3125302
85134,NE 63RD ST BETWEEN ROOSEVELT WAY NE AND 12TH AVE NE,S,10,Roosevelt,,Paid Parking,240,47.67409384,-122.31648828
85149,NE 64TH ST BETWEEN 9TH AVE NE AND ROOSEVELT WAY NE,N,6,Roosevelt,,Paid Parking,240,47.67505126,-122.31805065
85150,NE 64TH ST BETWEEN 9TH AVE NE AND ROOSEVELT WAY NE,S,9,Roosevelt,,Paid Parking,240,47.67491419,-122.31805211
62437,NE 64TH ST BETWEEN ROOSEVELT WAY NE AND 12TH AVE NE,N,4,Roosevelt,,Paid Parking,240,47.67503976,-122.31649633
62438,NE 64TH ST BETWEEN ROOSEVELT WAY NE AND 12TH AVE NE,S,3,Roosevelt,,Paid Parking,240,47.67491914,-122.3165044
17502,NE 66TH ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,S,6,Roosevelt,,Paid Parking,240,47.67654735,-122.31501549
39877,NE 66TH ST BETWEEN ROOSEVELT WAY NE AND 12TH AVE NE,N,9,Roosevelt,,Paid Parking,240,47.6765921,-122.31678499
39945,NE 70TH ST BETWEEN NE RAVENNA WB BV AND OSWEGO PL NE,N,3,Green Lake,,Paid Parking,120,47.67918615,-122.32421297
