osm_id,name,lat,lon,poi_type,borough_query
airbnb/213330,Master Bedroom - Unbelievably RARE Penthouse Oasis,40.71681594848633,-73.98969268798828,airbnb,Airbnb-NYC
airbnb/216080,Spacious & Sunny Safe Haven,40.69062,-73.97354,airbnb,Airbnb-NYC
airbnb/217580,Long term fully furnished apartment.,40.61933,-74.03208,airbnb,Airbnb-NYC
airbnb/219066,"Wonderful Studio In Brooklyn, NY!!!",40.61943,-73.99232,airbnb,Airbnb-NYC
airbnb/219922,"Lovely Bdr in Harlem, Manhattan",40.81553,-73.95438,airbnb,Airbnb-NYC
airbnb/44229,BROOKLYN VICTORIAN STYLE SUITE.....,40.69287,-73.97108,airbnb,Airbnb-NYC
airbnb/45542,Clean and Cozy Harlem Apartment,40.82569,-73.93842,airbnb,Airbnb-NYC
airbnb/45910,Beautiful Queens Brownstone! - 5BR,40.70309,-73.89963,airbnb,Airbnb-NYC
airbnb/45935,Room in Beautiful Townhouse.,40.80635,-73.92201,airbnb,Airbnb-NYC
airbnb/45936,Couldn't Be Closer To Columbia Uni,40.8063,-73.95985,airbnb,Airbnb-NYC
airbnb/344092,"Heavy Sun, Quiet, Arty 1 Bedroom",40.64368,-74.02102,airbnb,Airbnb-NYC
airbnb/346579,"Sunny LES 1BR + Office, Long-Term Sublet",40.71932,-73.98364,airbnb,Airbnb-NYC
airbnb/351859,Exquisite Spacious Studio in Midtown,40.74828,-73.9917,airbnb,Airbnb-NYC
airbnb/352651,COMFORTABLE LARGE ROOM,40.66,-73.95203,airbnb,Airbnb-NYC
airbnb/353317,Lower East Side 1bedroom apt in NYC,40.71481,-73.99059,airbnb,Airbnb-NYC
airbnb/355563,Sunlit 3BR BoCoCa Duplex w/ Roof Deck,40.68560791015625,-73.98918914794922,airbnb,Airbnb-NYC
airbnb/367810,Room in Artist Greenpoint Loft with Manhattan View,40.73626,-73.95634,airbnb,Airbnb-NYC
airbnb/373618,"Designer’s loft, roof deck best W’burg",40.71942398164986,-73.96005436966747,airbnb,Airbnb-NYC
airbnb/385824,New York City- Riverdale Modern two bedrooms unit,40.88095,-73.91701,airbnb,Airbnb-NYC
airbnb/46544,Park Slope haven 15 mins from Soho,40.67979,-73.97978,airbnb,Airbnb-NYC
airbnb/46911,Large Room pr/h Br/St in Park Slope,40.68009896425498,-73.9746189673198,airbnb,Airbnb-NYC
airbnb/49048,Dreamy Loft Style w own bathroom,40.6829,-73.95701,airbnb,Airbnb-NYC
airbnb/220563,Lovely HUGE Master Bed + Study,40.68788,-73.95014,airbnb,Airbnb-NYC
airbnb/222304,BEST DEAL IN CHELSEA 1 bdrm NYC,40.7401,-74.00019,airbnb,Airbnb-NYC
airbnb/223930,Lovely Apartment,40.67319,-73.96804,airbnb,Airbnb-NYC
airbnb/225354,Charming Loft Studio with Patio,40.71085,-73.96672,airbnb,Airbnb-NYC
airbnb/225976,Cozy multi-leveled apartment!,40.61019,-74.06757,airbnb,Airbnb-NYC
airbnb/226021,Sunny 2 bdrm W'burg Duplex w/ 3 beds. 5* superhost,40.71137,-73.9465,airbnb,Airbnb-NYC
airbnb/227495,Great studio apt near Central Park,40.78764,-73.97274,airbnb,Airbnb-NYC
airbnb/228317,"Your Haven Awaits At ""Emma's Place""",40.68563832502508,-73.92470229417086,airbnb,Airbnb-NYC
airbnb/51438,1 Bedroom in 2 Bdrm Apt- Upper East,40.77449,-73.95308,airbnb,Airbnb-NYC
airbnb/52689,"Private, sunny two-bedroom near subway & shops",40.77868,-73.90652,airbnb,Airbnb-NYC
airbnb/386744,Great room priv/bathrm Eastside location 70's ST,40.77,-73.95842,airbnb,Airbnb-NYC
airbnb/386799,Midtown NYC - 1 Bedroom Apartment,40.7616,-73.97715,airbnb,Airbnb-NYC
airbnb/387666,Historic townhouse in convenient location,40.83521,-73.93836,airbnb,Airbnb-NYC
airbnb/389482,Quaint & Quiet in Queens,40.71215,-73.81692,airbnb,Airbnb-NYC
airbnb/392948,Williamsburg bridge  /artist bunk small,40.70717,-73.95269,airbnb,Airbnb-NYC
airbnb/394111,"Beautiful Bedrooms in Briarwood, NY",40.71044,-73.81703,airbnb,Airbnb-NYC
airbnb/396636,Stylish Designer Studio with Piano,40.82903,-73.94204,airbnb,Airbnb-NYC
airbnb/53469,cozy studio with parking spot,40.71567,-73.87842,airbnb,Airbnb-NYC
airbnb/53470,Clean and convenient 2BR apartment,40.70422,-73.89778,airbnb,Airbnb-NYC
airbnb/53477,3 floors of luxury!,40.71778,-73.87714,airbnb,Airbnb-NYC
airbnb/54466,Beautiful Uptown Manhattan apartmnt,40.80255,-73.95803,airbnb,Airbnb-NYC
airbnb/230877,Monthly Apartment Rental,40.79147,-73.94629,airbnb,Airbnb-NYC
airbnb/232612,"Lovely pied-à-terre, in an historic building",40.68518847176618,-73.94268839549034,airbnb,Airbnb-NYC
airbnb/232775,Stunning 1 BR Loft Williamsburg Bedford L,40.72113,-73.95658,airbnb,Airbnb-NYC
airbnb/233638,rooms for rent in Queens with piano,40.70132,-73.90883,airbnb,Airbnb-NYC
airbnb/235552,HUGE Sunny Duplex Loft with Garden,40.66386,-73.98519,airbnb,Airbnb-NYC
airbnb/235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,40.74168,-74.00339,airbnb,Airbnb-NYC
airbnb/54508,S/Rm Br/st  PSlope great for  Med/Stu,40.6789595110935,-73.97409474641334,airbnb,Airbnb-NYC
airbnb/54544,City Room - Private Penthouse Apt.,40.81182,-73.94631,airbnb,Airbnb-NYC
airbnb/54860,Bedroom in my apartment with a private bathroom.,40.79934,-73.94236,airbnb,Airbnb-NYC
airbnb/55959,Work From Our Home w/ Loft,40.71065,-73.95087,airbnb,Airbnb-NYC
airbnb/55982,Cozy 2 br in sunny Fort Greene apt,40.68701,-73.97555,airbnb,Airbnb-NYC
airbnb/56859,City Room - Private & Comfy Bedroom,40.81201,-73.94452,airbnb,Airbnb-NYC
