nta2020,airbnb,bar,hotel,nightclub,pub,restaurant,nightlife_total,accommodation_total,total_count
BK1301,14,0,2,0,0,3,0,16,19
BK1302,37,5,0,0,0,30,5,37,72
BK1303,52,1,0,0,1,25,2,52,79
BK1391,0,0,0,0,0,0,0,0,0
BK1401,193,1,3,0,0,16,1,196,213
BK1402,126,5,1,0,0,24,5,127,156
BK1403,30,0,0,0,0,6,0,30,36
BK1501,30,0,0,0,1,21,1,30,52
BK1502,29,0,0,0,0,16,0,29,45
BK1503,54,5,1,0,1,50,6,55,111
BK1601,324,1,4,0,0,5,1,328,334
BK1602,58,1,1,0,0,2,1,59,62
BK1701,194,2,0,0,0,4,2,194,200
BK1702,89,0,0,0,0,0,0,89,89
BK1703,127,0,0,1,0,3,1,127,131
BK1704,80,0,0,0,0,0,0,80,80
BK1771,4,0,0,0,0,0,0,4,4
BK1801,102,0,0,1,0,7,1,102,110
BK1802,35,0,0,0,0,5,0,35,40
BK1803,193,0,0,0,0,4,0,193,197
BK1891,0,0,0,0,0,0,0,0,0
BK1892,0,0,0,0,0,0,0,0,0
BK1893,1,0,0,0,0,0,0,1,1
BK5591,0,0,0,0,0,1,0,0,1
BK5691,0,0,0,0,0,1,0,0,1
BK5692,0,0,0,0,0,0,0,0,0
BK5693,0,0,0,0,0,0,0,0,0
BX0101,80,1,2,1,0,17,2,82,101
BX0102,28,0,1,0,0,1,0,29,30
BX0201,22,0,0,0,0,0,0,22,22
BX0202,17,0,0,0,0,1,0,17,18
BX0291,0,0,0,0,0,0,0,0,0
BX0301,21,0,0,0,0,2,0,21,23
BX0302,4,1,0,0,0,0,1,4,5
BX0303,7,0,0,1,0,2,1,7,10
BX0391,0,0,0,0,0,0,0,0,0
BX0401,60,3,1,0,0,8,3,61,72
BX0402,20,0,1,1,0,0,1,21,22
BX0403,23,0,0,0,0,2,0,23,25
BX0491,2,0,0,0,0,2,0,2,4
BX0492,1,0,0,0,0,0,0,1,1
BX0501,18,0,0,0,0,3,0,18,21
BX0502,40,0,0,0,0,2,0,40,42
BX0503,14,0,0,0,0,14,0,14,28
BX0601,7,0,0,0,0,0,0,7,7
BX0602,15,0,0,0,0,0,0,15,15
BX0603,14,1,0,0,0,21,1,14,36
BX0701,16,1,0,0,0,7,1,16,24
BX0702,32,0,0,0,0,1,0,32,33
BX0703,19,0,1,0,0,3,0,20,23
BX0801,15,0,0,0,0,0,0,15,15
BX0802,23,1,0,0,2,9,3,23,35
BX0803,26,1,0,0,0,17,1,26,44
BX0901,23,1,0,1,0,16,2,23,41
BX0902,25,0,0,0,0,1,0,25,26
BX0903,22,0,0,0,0,9,0,22,31
BX0904,10,1,0,0,0,13,1,10,24
BX0991,0,0,0,0,0,0,0,0,0
BX1001,3,0,0,0,0,4,0,3,7
BX1002,34,0,0,0,0,7,0,34,41
BX1003,23,4,0,0,0,22,4,23,49
BX1004,5,0,1,0,0,6,0,6,12
BX1071,0,0,0,0,0,0,0,0,0
BX1091,0,0,0,0,0,0,0,0,0
BX1101,27,0,0,1,0,9,1,27,37
BX1102,28,1,0,0,0,10,1,28,39
BX1103,56,1,0,0,0,4,1,56,61
BX1104,24,0,0,0,0,9,0,24,33
BX1161,2,0,1,0,0,0,0,3,3
BX1201,48,0,1,0,0,3,0,49,52
BX1202,60,0,0,0,0,7,0,60,67
BX1203,52,6,0,0,0,7,6,52,65
BX1271,0,0,0,0,0,0,0,0,0
BX2691,1,0,0,0,0,1,0,1,2
BX2791,0,0,0,0,0,1,0,0,1
BX2891,1,0,0,0,0,0,0,1,1
MN0101,594,20,40,0,12,169,32,634,835
MN0102,162,15,10,0,6,88,21,172,281
MN0191,0,1,0,0,1,5,2,0,7
MN0201,476,26,19,1,1,182,28,495,705
MN0202,175,41,4,3,11,151,55,179,385
MN0203,372,40,4,4,5,169,49,376,594
MN0301,284,17,12,0,3,164,20,296,480
MN0302,451,60,17,4,4,133,68,468,669
MN0303,698,119,5,5,18,267,142,703,1112
MN0401,764,40,37,6,5,156,51,801,1008
MN0402,1128,40,35,6,10,174,56,1163,1393
MN0501,623,44,45,3,20,222,67,668,957
MN0502,1008,45,125,1,42,334,88,1133,1555
