osm_id,name,lat,lon,poi_type,borough_query
node/8651793617,The Owl's Tail,40.7809547,-73.9808772,bar,Manhattan
node/8651832617,Lucciola,40.7903054,-73.9727706,restaurant,Manhattan
node/8666113117,Covacha,40.7809673,-73.9764315,restaurant,Manhattan
node/8687853803,Dagon,40.7912561,-73.9739207,restaurant,Manhattan
node/8687853816,Osteria Accademia,40.7912328,-73.9726585,restaurant,Manhattan
node/8687882643,New Asia,40.7918743,-73.9722097,restaurant,Manhattan
node/8691963728,Sedona Taphouse,40.8286449,-73.9869328,restaurant,Manhattan
node/8699239264,Mimi's Pizza,40.7895392,-73.975853,restaurant,Manhattan
node/8709397335,Naya,40.7876752,-73.9774262,restaurant,Manhattan
node/9181495785,,40.8130344,-73.9842581,restaurant,Manhattan
node/9373538597,Vin Sur Vingt,40.7849237,-73.9728113,bar,Manhattan
node/9392834429,Consuelo,40.7994604,-73.9677137,restaurant,Manhattan
node/9459121054,Baylander Steel Beach,40.8191878,-73.9621644,restaurant,Manhattan
node/9459150758,Freda's Caribbean and Soul Cuisine,40.8009324,-73.9613874,restaurant,Manhattan
node/9459150759,Curry King,40.7995276,-73.9628941,restaurant,Manhattan
node/9459150760,Doaba Deli,40.799434,-73.9624791,restaurant,Manhattan
node/9459180036,Zaad,40.8012053,-73.9649165,restaurant,Manhattan
node/9470233170,Bustan,40.7859388,-73.9760419,restaurant,Manhattan
node/9496920117,Mama’s TOO!,40.800798,-73.967649,restaurant,Manhattan
node/9509315843,Frozen Love,40.8138324,-73.9602013,restaurant,Manhattan
node/9654088076,Spice Lamb,40.8001788,-73.96613,restaurant,Manhattan
node/9700890401,Sushi Cruise,40.8183409,-73.9772752,restaurant,Manhattan
node/9780519497,Dragon 105,40.7982462,-73.9633552,restaurant,Manhattan
node/9787335517,Elis Wine Bar,40.8028192,-73.964203,restaurant,Manhattan
node/9793773981,Homemade Taqueria,40.8011698,-73.961203,restaurant,Manhattan
node/9957566525,Pico De Gallo Bar & Kitchen,40.7951614,-73.9698158,restaurant,Manhattan
node/9966728817,,40.7853079,-73.972782,restaurant,Manhattan
node/9973577917,Hiram's Roadstand,40.8415884,-73.9747221,restaurant,Manhattan
node/10164097237,Minosban,40.8652621,-73.9856015,restaurant,Manhattan
node/10164097238,Funland Chinese Restaurant,40.8654703,-73.985448,restaurant,Manhattan
node/10164097239,Kaya Garden,40.8656519,-73.9853247,restaurant,Manhattan
node/10179119908,Rumba Cafe,40.8655255,-73.9855731,restaurant,Manhattan
node/10207581130,Chef Mike's Sub Shop,40.8088483,-73.9609987,restaurant,Manhattan
node/10245927792,O2 K-BBQ,40.7907526,-74.00049,restaurant,Manhattan
node/10245927796,Antonio's Restaurant & Pizzeria,40.7921332,-74.0037592,restaurant,Manhattan
node/10245927803,GP's Restaurant,40.7911858,-74.001756,restaurant,Manhattan
node/10245969543,Lau's Wine Bar & Restaurant,40.7924765,-74.0034698,restaurant,Manhattan
node/10245969545,Cavalino's,40.7912959,-74.0041164,restaurant,Manhattan
node/10245969563,Cara Mia,40.7935843,-74.005669,restaurant,Manhattan
node/10245969566,Loco's Burger,40.7937235,-74.0052553,restaurant,Manhattan
node/10245969568,Cabo,40.7938434,-74.0051769,restaurant,Manhattan
node/10245969569,China Express,40.7930636,-74.0030054,restaurant,Manhattan
node/10245969570,Lotus Thai Cuisine,40.7929312,-74.0031237,restaurant,Manhattan
node/10278477244,Dante's Italian Restaurant,40.8630143,-73.9864534,restaurant,Manhattan
node/10628137668,Sushi House,40.8478211,-73.9705632,restaurant,Manhattan
node/10914968638,The Calaveras,40.799533,-73.9624049,restaurant,Manhattan
node/10936880905,Ellington in the park,40.8025839,-73.9718802,restaurant,Manhattan
node/11005206216,Bob's Your Uncle,40.7988323,-73.9629321,bar,Manhattan
node/11018270207,Dayi’nin Yeri,40.8158859,-73.9908429,restaurant,Manhattan
node/11018270208,Dayi'nin Yeri 2,40.8253003,-73.9872845,restaurant,Manhattan
node/11099428487,Playa Betty's,40.7807434,-73.9803323,restaurant,Manhattan
node/11170449354,Tacombi,40.782497,-73.9785273,restaurant,Manhattan
node/11170628909,Kuba,40.8548889,-73.9633565,restaurant,Manhattan
node/11210780898,moodfood,40.8399877,-73.9811186,restaurant,Manhattan
node/11236746435,Chama Mama,40.7822176,-73.9787653,restaurant,Manhattan
node/11332148669,Omakase 95,40.7936206,-73.9709147,restaurant,Manhattan
node/11371603469,Jet's Pizza,40.7937849,-73.9707956,restaurant,Manhattan
node/11375876806,Kyuramen,40.8027172,-73.968113,restaurant,Manhattan
node/11386507858,Tartina,40.8036171,-73.9636412,restaurant,Manhattan
node/11411614762,Koko Wings,40.8009562,-73.9673468,restaurant,Manhattan
node/11413866657,Happy Hot Hunan Restaurant,40.8013886,-73.9647833,restaurant,Manhattan
node/11415714612,Pancho's Antojitos Mexicano,40.8013901,-73.965234,restaurant,Manhattan
node/11415714613,3 Times,40.801455,-73.965181,restaurant,Manhattan
node/11421707495,Mala Town,40.8000199,-73.9657774,restaurant,Manhattan
node/11442900427,Marinara Pizza,40.7954237,-73.9708722,restaurant,Manhattan
node/11447982727,Atlas Kitchen,40.8032937,-73.9667641,restaurant,Manhattan
node/11448213482,The Grand Feast,40.7977903,-73.9678718,restaurant,Manhattan
node/11530393583,Tsumo Omakase,40.7955912,-73.9694838,restaurant,Manhattan
node/11530514625,Buceo 95,40.7936012,-73.9711217,restaurant,Manhattan
node/11532552941,Baked by Melissa,40.7873816,-73.9776772,restaurant,Manhattan
node/11536202001,Dim Sum Bloom,40.7957389,-73.9706401,restaurant,Manhattan
node/11538535383,Coma Bueno,40.7996039,-73.9628318,restaurant,Manhattan
node/11538724479,Kikoo Sushi,40.8013869,-73.9615545,restaurant,Manhattan
node/11541133669,Bareburger,40.7943379,-73.9661954,restaurant,Manhattan
node/11541696469,Hoptimist,40.7840717,-73.9779024,bar,Manhattan
node/11583940164,Ciao Paisan,40.7831966,-73.9789446,restaurant,Manhattan
node/11583940165,Blondies Sports Bar,40.7832747,-73.9791292,bar,Manhattan
node/11583954373,New York Comedy Club,40.7828731,-73.9801285,bar,Manhattan
node/11616874334,El Gallo Taqueria,40.7866324,-73.9760139,restaurant,Manhattan
node/11617087594,Crave Fishbar,40.7842543,-73.9777515,restaurant,Manhattan
node/11617087595,Two Wheels,40.7842096,-73.9777838,restaurant,Manhattan
node/11622197425,Vanessa's Dumpling House,40.7849937,-73.9772104,restaurant,Manhattan
node/11627433797,Sushi Nonaka,40.7836073,-73.978221,restaurant,Manhattan
node/11629642322,West Side Comedy Club,40.7807729,-73.9804016,bar,Manhattan
node/11632352915,Telio,40.7982092,-73.9688522,restaurant,Manhattan
node/11662430712,The Upside,40.7894094,-73.9739936,bar,Manhattan
node/11664042689,The Shell,40.7906078,-73.9725454,restaurant,Manhattan
