id,lat,lon
4691,34.02552,-118.3531
4692,34.02553,-118.3531
4693,34.06173,-118.29337
4696,33.98938,-118.26495
4697,33.9895,-118.248
4698,33.98934,-118.28235
4699,33.9893,-118.29119
4700,33.9893,-118.3042
4702,34.04731,-118.29969
4703,34.02393,-118.25088
4704,33.93739,-118.25435
4707,34.08788,-118.29492
4708,34.03056,-118.38058
4723,33.99076,-118.46706
4726,34.05702,-118.23708
4727,34.04839,-118.17927
4729,34.06417,-118.25926
4730,34.0894,-118.29216
4732,34.02828,-118.38985
4733,33.99131,-118.47741
4734,34.0625,-118.36012
4735,34.06254,-118.34453
4736,34.06557,-118.37586
4737,34.03885,-118.46702
4739,34.07134,-118.36154
4740,34.01332,-118.49136
4741,33.91978,-118.26009
