id,name,freeway,direction,type,lanes,city,county,abs_pm,lat,lon
716124,TEMPLE CITY,10,W,OR,1,22230,37,26.13,34.072661,-118.059491
716126,BALDWIN,10,E,ML,4,22230,37,26.59,34.071934,-118.051536
716127,SANTA ANITA,10,W,OR,1,22230,37,27.06,34.069271,-118.044184
716128,SANTA ANITA,10,E,OR,1,22230,37,27.28,34.06847,-118.040429
716129,PECK,10,W,OR,1,22230,37,27.84,34.068078,-118.030663
716130,VALLEY,10,E,OR,1,22230,37,28.01,34.067963,-118.027743
716131,VALLEY,10,W,OR,1,22230,37,28.111,34.068199,-118.025926
716132,STEWART,10,E,OR,1,22230,37,28.48,34.06699,-118.019773
716133,DURFEE,10,E,OR,1,22230,37,29.19,34.063981,-118.008051
716134,DURFEE RD,10,W,FR,1,22230,37,29.19,34.064175,-118.008013
716135,FRAZIER,10,W,OR,1,3666,37,30.22,34.066554,-117.990356
716136,BALDWIN PARK SB,10,W,OR,1,3666,37,30.71,34.067663,-117.981905
716137,BALDWIN PARK NB,10,E,OR,1,3666,37,30.81,34.06769,-117.980138
716138,BALDWIN PARK NB,10,W,OR,1,3666,37,30.83,34.067905,-117.979831
716139,FRANCISQUITO,10,W,OR,1,3666,37,31.31,34.069011,-117.971555
716140,PUENTE NB,10,E,OR,1,3666,37,31.96,34.070282,-117.960307
716141,PUENTE,10,W,OR,1,3666,37,31.98,34.07049,-117.959994
716142,SUNFLOWER AV,210,E,ML,4,30014,37,43.589,34.117595,-117.844142
716143,LONE HILL AV,210,E,ML,4,30014,37,44.489,34.120911,-117.829234
716144,WEST COVINA,10,W,OR,1,84200,37,32.86,34.072082,-117.94475
716145,WEST COVINA PKWY,10,E,OR,1,84200,37,32.94,34.072075,-117.943345
716146,SUNSET,10,W,ML,5,84200,37,33.4,34.072549,-117.935381
716148,VINCENT SB,10,W,OR,1,84200,37,33.86,34.072468,-117.92737
716149,VINCENT SB,10,E,OR,1,84200,37,33.86,34.0723,-117.927358
716150,VINCENT NB,10,W,OR,1,84200,37,33.95,34.072452,-117.925803
716151,VINCENT NB,10,E,OR,1,84200,37,34.0,34.072274,-117.924923
716152,LARK ELLEN,10,E,ML,4,84200,37,34.4,34.072202,-117.917964
716153,LARK ELLEN,10,W,ML,5,84200,37,34.4,34.072356,-117.917965
716154,AZUSA SB,10,W,OR,1,84200,37,34.91,34.072264,-117.909076
716155,AZUSA SB,10,E,OR,1,84200,37,34.96,34.072101,-117.908205
716156,AZUSA NB,10,W,OR,1,84200,37,35.02,34.072249,-117.907159
716157,AZUSA NB,10,E,OR,1,84200,37,35.064,34.072082,-117.906392
716158,CITRUS SB,10,W,OR,1,84200,37,35.93,34.072105,-117.891295
716159,CITRUS NB,10,W,OR,1,84200,37,36.02,34.072087,-117.889726
716160,CITRUS 2,10,E,OR,1,84200,37,36.09,34.071847,-117.888507
716161,BARRANCA SB,10,W,OR,1,84200,37,36.42,34.072029,-117.882752
716162,BARRANCA NB,10,W,OR,1,84200,37,36.57,34.072002,-117.880137
716163,BARRANCA 2,10,E,OR,1,84200,37,36.59,34.071814,-117.87979
716164,GRAND,10,W,OR,1,84200,37,36.89,34.071952,-117.87456
716165,GRAND,10,E,OR,1,84200,37,36.98,34.07172,-117.872992
716166,HOLT WB,10,W,OR,1,84200,37,37.39,34.071035,-117.865957
716167,HOLT SB,10,E,OR,1,84200,37,37.45,34.070451,-117.86513
716168,HOLT EB,10,W,OR,1,84200,37,37.551,34.069881,-117.863508
716169,HOLT  NB,10,E,OR,1,84200,37,37.64,34.069047,-117.862283
716170,VIA VERDE 1,10,W,OR,1,,37,38.85,34.069037,-117.841455
716171,VIA VERDE,10,E,OR,1,,37,39.09,34.068106,-117.83743
716172,E OF VIA V,10,E,ML,4,,37,39.2,34.067608,-117.835601
716174,COVINA HILLS 1,10,W,ML,5,,37,39.7,34.064588,-117.827856
716176,COVINA HILLS 2,10,W,ML,5,,37,40.1,34.063827,-117.820969
716178,KELLOGG,10,W,OR,1,58072,37,40.48,34.0639,-117.814349
716181,E OF 71,10,E,ML,5,58072,37,41.26,34.067443,-117.801629
716182,FAIRPLEX,10,W,OR,1,58072,37,42.02,34.072518,-117.789858
716183,FAIRPLEX,10,E,OR,1,58072,37,42.26,34.072803,-117.785705
716184,DUDLEY,10,W,OR,1,58072,37,42.35,34.072978,-117.784144
716185,DUDLEY,10,E,OR,1,58072,37,42.63,34.072839,-117.779264
716187,CLEVELAND,10,E,ML,4,58072,37,43.18,34.071766,-117.769758
716188,WHITE,10,W,OR,1,58072,37,43.66,34.071029,-117.761475
716189,GAREY,10,W,OR,1,58072,37,44.12,34.073286,-117.753978
716190,ORANGE GROVE,10,E,OR,1,58072,37,44.51,34.075604,-117.74786
716191,TOWNE,10,W,OR,1,58072,37,44.72,34.077146,-117.744573
716192,TOWNE,10,E,OR,1,58072,37,45.06,34.079138,-117.739234
716193,MOUNTAIN,10,W,ML,4,58072,37,45.74,34.081731,-117.72793
716195,INDIAN HILL,10,W,OR,1,58072,37,46.1,34.081821,-117.721638
716196,INDIAN HILL,10,E,OR,1,13756,37,46.37,34.081722,-117.71693
716197,BREA CANYON,57,N,OR,1,,37,13.077,33.960273,-117.855729
716200,PATHFINDER,57,S,OR,1,19192,37,14.902,33.981951,-117.842186
716201,PATHFINDER,57,N,OR,1,19192,37,15.217,33.988721,-117.842841
716203,CAMPUS,57,N,ML,3,58072,37,19.117,34.059539,-117.804678
716204,SOTO,60,W,OR,1,44000,37,0.624,34.029636,-118.217534
716205,SOTO,60,E,OR,1,44000,37,0.694,34.02902,-118.216326
716206,E OF 101 / MARRIETTA,60,W,ML,3,44000,37,0.974,34.029065,-118.211497
716207,LORENA,60,W,OR,1,44000,37,1.704,34.029648,-118.199219
716208,LORENA,60,E,OR,1,44000,37,1.734,34.029608,-118.198629
716209,INDIANA,60,E,OR,1,44000,37,2.224,34.03154,-118.190445
716211,THIRD,60,W,OR,1,44000,37,2.694,34.032661,-118.182471
